aID_STAO,elevation,HS,land_use,SR_pl_mean,SR_pl_trend,T_pl_mean,T_pl_trend,SR_mo_mean,SR_mo_trend,T_mo_mean,T_mo_sh_mean,T_mo_lo_mean,T_mo_trend,T_mo_sh_trend,T_mo_lo_trend,TU_mo,TU_pl
1,417,colline,grassland,35.5,-25.999999999999993,3.615,-0.3799999999999998,2,1.2560739669470201e-15,NaN,NaN,NaN,NA,NA,NA,0.5,0.5238095238095238
2,1608,alpine,forest,54,-3.000000000000017,2.44,0.05999999999999882,20,2.9999999999999925,3.0466666666666664,3.2222222222222223,3,0.06999999999999933,0.33333333333333315,-7.691850745534255e-16,0.43478260869565216,0.28342663084042397
3,1252,subalpine,forest,19,-1.2306961192854808e-14,3.0633333333333335,-0.009999999999999794,24.666666666666668,5.999999999999994,2.9466666666666668,2.375,2.9706716285663655,-0.11000000000000106,0.7500000000000004,-0.14646464646464624,0.364929693961952,0.23333333333333334
4,453,colline,grassland,33,3.999999999999993,3.4533333333333336,-1.4130832128153975e-15,7.333333333333333,-1.0000000000000024,3.6966666666666668,4,3,-1.6485970816179637e-15,-0,-7.691850745534254e-16,0.38888888888888884,0.5183001280562256
5,615,colline,forest,42,-2.8000000000000007,3.5425,0.04999999999999928,17,1.600000000000001,3.1975000000000002,3.3333333333333335,3.186378205128205,0.1220000000000006,0.26666666666666605,0.10243589743589769,0.44047619047619047,0.38686781809882115
6,1071,montane,grassland,33.333333333333336,-5.000000000000016,3.1666666666666665,-0.08000000000000071,3,-3.0000000000000027,4,4,4,-0,NA,-0,0.2222222222222222,0.21903153153153154
7,1224,subalpine,grassland,43.666666666666664,-6.000000000000001,3.0633333333333335,-0.050000000000001106,6.333333333333333,-2.0000000000000013,3,3,3,-7.691850745534255e-16,1.2560739669470201e-15,-7.691850745534255e-16,0.34523809523809523,0.3923031333745619
8,1480,subalpine,forest,40.666666666666664,2.9999999999999827,2.723333333333333,0.07999999999999935,19.333333333333332,-7.999999999999999,2.716666666666667,2.4444444444444446,2.7818181818181817,-0.040000000000000605,-0.2666666666666676,0.01818181818181695,0.3492753623188406,0.2878306878306878
9,1281,subalpine,forest,17.75,-9.799999999999997,2.8675,-0.03399999999999998,19.5,2.799999999999999,2.8975,2.8375,2.9102941176470587,-0.04200000000000016,-0.2900000000000003,0.011372549019608175,0.4604029893884966,0.5050041603750044
10,707,montane,grassland,25,NA,3.47,NA,5,NA,4,4,NaN,NA,NA,NA,NA,NA
11,1125,montane,forest,32,-0,2.96,-0.020000000000001506,23,-1.0000000000000089,2.9833333333333334,2.8333333333333335,3,-1.4915878357495865e-15,-1.5700924586837752e-16,-7.691850745534255e-16,0.3436779270112603,0.12251547735418704
12,1354,subalpine,grassland,60.666666666666664,-2.574951632241391e-14,2.83,-0.18000000000000166,16,-0,2.8066666666666666,3,2.7666666666666666,-0.02000000000000112,1.25607396694702e-15,-0.05000000000000127,0.5867498514557338,0.19507946547794744
13,1107,montane,grassland,53.333333333333336,6.999999999999989,3.2133333333333334,-0.03000000000000053,7.666666666666667,3.9999999999999987,3.2933333333333334,3.6666666666666665,3.2333333333333334,-0.1600000000000008,NA,-0.16666666666666796,0.7111111111111111,0.2795972983305722
14,1125,montane,grassland,36.25,-0.20000000000000273,3.12,0.02399999999999966,5.5,-2.8,3.05,4,3,-0.03999999999999984,NA,0,0.42678571428571427,0.4414458989047758
15,695,montane,grassland,39.333333333333336,0.9999999999999811,3.55,-0.07000000000000145,4.666666666666667,-1.0000000000000018,3,NaN,3,-7.691850745534255e-16,NA,-7.691850745534255e-16,0.4444444444444444,0.44138486312399355
16,1123,montane,forest,15.333333333333334,-10.000000000000016,3.24,0.009999999999998857,14.333333333333334,-2.000000000000004,3.1,3.166666666666667,3.088888888888889,0.01999999999999893,-0.6666666666666663,0.09999999999999785,0.43808049535603716,0.3935897435897436
17,1540,subalpine,forest,44.333333333333336,-6.000000000000003,2.6533333333333333,0.029999999999999204,28.666666666666668,-4.0000000000000115,2.69,2.3944444444444444,2.7337962962962963,0.14999999999999888,0.34999999999999876,0.145833333333333,0.32159381836801193,0.25296442687747034
18,1284,subalpine,grassland,61.666666666666664,5.0000000000000036,3.023333333333333,-0.04000000000000148,16,-1.0000000000000062,2.796666666666667,2.1666666666666665,2.925925925925926,-0.1000000000000017,0.49999999999999956,-0.22222222222222274,0.40460526315789475,0.28260532590992965
19,486,colline,grassland,40,7.999999999999985,3.4433333333333334,0.019999999999999032,3,0.9999999999999988,4,4,NaN,2.5121479338940403e-15,2.5121479338940403e-15,NA,0.47777777777777775,0.2311184939091916
20,647,montane,forest,14.5,-1.6000000000000005,3.42,0.09999999999999998,11,2,3.1125,3.2083333333333335,3.0625,0.07800000000000044,0.23333333333333284,0.05000000000000015,0.5301837051837052,0.4376322751322751
21,660,montane,forest,13.666666666666666,2.9999999999999987,3.39,-0.020000000000000843,11.333333333333334,6.999999999999999,3.14,3.25,3.1333333333333333,0.4199999999999987,1.0000000000000029,0.39999999999999847,0.7270955165692008,0.13968253968253969
22,659,montane,grassland,35,2.999999999999979,3.4899999999999998,0.06000000000000007,4.333333333333333,5.999999999999999,4,4,4,2.5121479338940403e-15,2.5121479338940403e-15,NA,0.7777777777777778,0.5290650406504065
23,817,montane,forest,38.666666666666664,2.9999999999999734,3.64,0.06,6.333333333333333,2.999999999999998,3.6666666666666665,4,3.5833333333333335,-0.6000000000000019,2.51214793389404e-15,-0.7500000000000013,0.6428571428571428,0.3436078852832592
