aID_STAO,year,land_use,elevation,HS,AZ_pl,T_pl,AZ_mo,T_mo
310,2001,forest,490,colline,38,3.41,2,NA
279,2001,forest,531,montane,1,NA,11,3.1
191,2001,forest,476,colline,28,3.48,7,3
307,2001,forest,619,montane,22,3.33,7,3.67
339,2001,forest,628,montane,4,3.63,5,3.25
343,2001,forest,615,montane,15,3.33,9,3
198,2001,forest,707,montane,9,3.4,10,3.25
165,2001,forest,595,montane,7,3.42,18,3.36
136,2001,forest,988,montane,10,3.1,13,3
1137,2001,unused,2899,alpine,0,NA,0,NA
1042,2001,forest,949,montane,12,3.07,10,3.17
1162,2001,grassland,1500,montane,47,3.32,3,NA
1181,2001,forest,1352,montane,18,3.12,13,3
1046,2001,grassland,1149,montane,60,3.08,8,3.17
1015,2001,grassland,1658,subalpine,46,2.56,11,3
1037,2001,grassland,1327,montane,43,3.18,8,3.33
986,2001,forest,1340,montane,19,2.88,0,NA
1171,2001,grassland,1674,subalpine,56,3.21,4,3
1054,2001,forest,1840,subalpine,20,2.44,17,2.55
1092,2001,grassland,1745,subalpine,64,2.51,14,2.75
1074,2001,grassland,2121,alpine,36,2.28,3,2
1058,2001,grassland,2173,alpine,40,2.05,2,3
69,2001,forest,1046,montane,23,3.08,19,2.93
91,2001,forest,1643,subalpine,15,2.63,12,2.82
114,2001,forest,1339,montane,18,2.68,20,2.89
143,2001,unused,2387,alpine,22,1.5,16,2.22
148,2001,forest,664,colline,22,3.37,12,3.14
169,2001,forest,1961,subalpine,14,2.64,7,2.25
173,2001,forest,829,colline,7,3.1,12,3
204,2001,forest,1299,montane,26,3.05,26,2.9
231,2001,forest,594,colline,22,3.6,10,3.67
257,2001,grassland,500,colline,25,3.31,4,4
287,2001,grassland,1401,montane,48,3.41,10,3.4
319,2001,grassland,2521,alpine,48,1.8,13,1.67
323,2001,forest,880,colline,17,3.64,3,3
347,2001,unused,2895,alpine,5,1.17,3,1
351,2001,grassland,2245,alpine,33,1.75,2,NA
374,2001,unused,2775,alpine,31,1.59,10,1.5
763,2001,forest,451,colline,13,3.42,13,3.29
802,2001,grassland,826,montane,21,3.47,4,NA
807,2001,grassland,565,montane,28,3.37,2,NA
767,2001,forest,712,montane,27,3.37,13,3.2
557,2001,grassland,625,montane,17,3.37,0,NA
506,2001,grassland,631,montane,20,3.42,1,NA
575,2001,forest,736,montane,17,3.38,22,3.19
606,2001,grassland,649,montane,32,3.39,3,3
693,2001,forest,733,montane,17,3.12,29,3.11
729,2001,forest,1112,montane,33,3.12,13,3
759,2001,grassland,914,montane,48,3.26,6,3.75
798,2001,grassland,1067,montane,52,3.25,12,3.25
635,2001,grassland,949,montane,22,3.31,0,NA
660,2001,grassland,850,montane,22,3.36,3,NA
698,2001,forest,780,montane,14,3.32,9,3.17
571,2001,forest,1060,montane,17,3.15,23,2.87
480,2001,forest,1055,montane,15,3.13,13,3
446,2001,grassland,1166,montane,44,3.12,9,2.8
475,2001,grassland,1312,subalpine,33,2.96,14,3.38
549,2001,unused,1374,subalpine,17,2.78,14,3
501,2001,grassland,1561,subalpine,53,2.56,24,2.61
526,2001,forest,1271,subalpine,28,2.77,22,2.9
451,2001,forest,1271,montane,22,2.92,12,3
631,2001,grassland,1483,subalpine,64,2.54,34,2.65
553,2001,forest,1663,subalpine,25,2.53,23,2.65
724,2001,forest,1567,subalpine,23,2.75,13,2.91
688,2001,forest,1596,subalpine,43,2.48,15,2.5
602,2001,grassland,1819,alpine,33,2.33,17,2.67
666,2001,forest,582,montane,10,3.38,13,3
703,2001,grassland,420,montane,24,3.39,1,NA
965,2001,grassland,691,montane,26,3.36,1,NA
974,2001,forest,778,montane,14,3.05,10,3
918,2001,forest,908,montane,17,3.03,9,3
1005,2001,forest,451,colline,22,3.53,4,3
874,2001,grassland,562,montane,30,3.24,4,3
840,2001,grassland,811,montane,35,3.33,7,3.33
884,2001,grassland,738,montane,22,3.45,2,NA
1000,2001,forest,1162,subalpine,5,3,14,3.08
1025,2001,forest,972,montane,6,3.25,17,3.08
909,2001,unused,2107,alpine,47,1.81,18,1.8
879,2001,forest,1284,subalpine,35,2.98,19,3
781,2001,unused,386,colline,10,3.07,14,2.7
811,2001,forest,363,colline,26,4,6,3.33
923,2001,grassland,492,colline,48,3.37,8,3
772,2001,forest,746,colline,6,3.83,0,NA
822,2001,forest,820,colline,18,3.38,19,3.17
850,2001,forest,940,montane,13,3.33,15,3.57
851,2001,forest,1060,montane,16,3.09,10,3.14
751,2001,forest,1408,subalpine,31,2.77,30,2.45
721,2001,grassland,1349,montane,21,3.13,0,NA
929,2001,grassland,1371,subalpine,39,3.1,2,NA
716,2001,forest,969,montane,21,3.22,6,3.4
901,2001,grassland,1738,subalpine,29,2.3,13,2.67
864,2001,grassland,1859,subalpine,49,2.01,27,2.65
747,2001,forest,1776,subalpine,21,2.36,4,2.75
861,2001,grassland,2088,alpine,25,1.66,11,1.4
